,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species
115,Torgersen,38.6,17.0,188.0,2900.0,2009,1
116,Torgersen,37.3,20.5,199.0,3775.0,2009,1
117,Torgersen,35.7,17.0,189.0,3350.0,2009,1
118,Torgersen,41.1,18.6,189.0,3325.0,2009,1
119,Torgersen,36.2,17.2,187.0,3150.0,2009,1
120,Torgersen,37.7,19.8,198.0,3500.0,2009,1
121,Torgersen,40.2,17.0,176.0,3450.0,2009,1
122,Torgersen,41.4,18.5,202.0,3875.0,2009,1
123,Torgersen,35.2,15.9,186.0,3050.0,2009,1
124,Torgersen,40.6,19.0,199.0,4000.0,2009,1
125,Torgersen,38.8,17.6,191.0,3275.0,2009,1
126,Torgersen,41.5,18.3,195.0,4300.0,2009,1
127,Torgersen,39.0,17.1,191.0,3050.0,2009,1
128,Torgersen,44.1,18.0,210.0,4000.0,2009,1
129,Torgersen,38.5,17.9,190.0,3325.0,2009,1
130,Torgersen,43.1,19.2,197.0,3500.0,2009,1
131,Dream,36.8,18.5,193.0,3500.0,2009,1
132,Dream,37.5,18.5,199.0,4475.0,2009,1
133,Dream,38.1,17.6,187.0,3425.0,2009,1
134,Dream,41.1,17.5,190.0,3900.0,2009,1
135,Dream,35.6,17.5,191.0,3175.0,2009,1
136,Dream,40.2,20.1,200.0,3975.0,2009,1
137,Dream,37.0,16.5,185.0,3400.0,2009,1
138,Dream,39.7,17.9,193.0,4250.0,2009,1
139,Dream,40.2,17.1,193.0,3400.0,2009,1
140,Dream,40.6,17.2,187.0,3475.0,2009,1
141,Dream,32.1,15.5,188.0,3050.0,2009,1
142,Dream,40.7,17.0,190.0,3725.0,2009,1
143,Dream,37.3,16.8,192.0,3000.0,2009,1
144,Dream,39.0,18.7,185.0,3650.0,2009,1
145,Dream,39.2,18.6,190.0,4250.0,2009,1
146,Dream,36.6,18.4,184.0,3475.0,2009,1
147,Dream,36.0,17.8,195.0,3450.0,2009,1
148,Dream,37.8,18.1,193.0,3750.0,2009,1
149,Dream,36.0,17.1,187.0,3700.0,2009,1
150,Dream,41.5,18.5,201.0,4000.0,2009,1
151,Biscoe,46.1,13.2,211.0,4500.0,2007,0
152,Biscoe,50.0,16.3,230.0,5700.0,2007,0
153,Biscoe,48.7,14.1,210.0,4450.0,2007,0
154,Biscoe,50.0,15.2,218.0,5700.0,2007,0
155,Biscoe,47.6,14.5,215.0,5400.0,2007,0
156,Biscoe,46.5,13.5,210.0,4550.0,2007,0
157,Biscoe,45.4,14.6,211.0,4800.0,2007,0
158,Biscoe,46.7,15.3,219.0,5200.0,2007,0
159,Biscoe,43.3,13.4,209.0,4400.0,2007,0
160,Biscoe,46.8,15.4,215.0,5150.0,2007,0
161,Biscoe,40.9,13.7,214.0,4650.0,2007,0
162,Biscoe,49.0,16.1,216.0,5550.0,2007,0
163,Biscoe,45.5,13.7,214.0,4650.0,2007,0
164,Biscoe,48.4,14.6,213.0,5850.0,2007,0
165,Biscoe,45.8,14.6,210.0,4200.0,2007,0
166,Biscoe,49.3,15.7,217.0,5850.0,2007,0
167,Biscoe,42.0,13.5,210.0,4150.0,2007,0
168,Biscoe,49.2,15.2,221.0,6300.0,2007,0
169,Biscoe,46.2,14.5,209.0,4800.0,2007,0
170,Biscoe,48.7,15.1,222.0,5350.0,2007,0
171,Biscoe,50.2,14.3,218.0,5700.0,2007,0
172,Biscoe,45.1,14.5,215.0,5000.0,2007,0
173,Biscoe,46.5,14.5,213.0,4400.0,2007,0
174,Biscoe,46.3,15.8,215.0,5050.0,2007,0
175,Biscoe,42.9,13.1,215.0,5000.0,2007,0
176,Biscoe,46.1,15.1,215.0,5100.0,2007,0
177,Biscoe,44.5,14.3,216.0,4100.0,2007,0
178,Biscoe,47.8,15.0,215.0,5650.0,2007,0
179,Biscoe,48.2,14.3,210.0,4600.0,2007,0
180,Biscoe,50.0,15.3,220.0,5550.0,2007,0
181,Biscoe,47.3,15.3,222.0,5250.0,2007,0
182,Biscoe,42.8,14.2,209.0,4700.0,2007,0
183,Biscoe,45.1,14.5,207.0,5050.0,2007,0
184,Biscoe,59.6,17.0,230.0,6050.0,2007,0
185,Biscoe,49.1,14.8,220.0,5150.0,2008,0
186,Biscoe,48.4,16.3,220.0,5400.0,2008,0
187,Biscoe,42.6,13.7,213.0,4950.0,2008,0
188,Biscoe,44.4,17.3,219.0,5250.0,2008,0
189,Biscoe,44.0,13.6,208.0,4350.0,2008,0
190,Biscoe,48.7,15.7,208.0,5350.0,2008,0
191,Biscoe,42.7,13.7,208.0,3950.0,2008,0
192,Biscoe,49.6,16.0,225.0,5700.0,2008,0
193,Biscoe,45.3,13.7,210.0,4300.0,2008,0
194,Biscoe,49.6,15.0,216.0,4750.0,2008,0
195,Biscoe,50.5,15.9,222.0,5550.0,2008,0
196,Biscoe,43.6,13.9,217.0,4900.0,2008,0
197,Biscoe,45.5,13.9,210.0,4200.0,2008,0
198,Biscoe,50.5,15.9,225.0,5400.0,2008,0
199,Biscoe,44.9,13.3,213.0,5100.0,2008,0
200,Biscoe,45.2,15.8,215.0,5300.0,2008,0
201,Biscoe,46.6,14.2,210.0,4850.0,2008,0
202,Biscoe,48.5,14.1,220.0,5300.0,2008,0
203,Biscoe,45.1,14.4,210.0,4400.0,2008,0
204,Biscoe,50.1,15.0,225.0,5000.0,2008,0
205,Biscoe,46.5,14.4,217.0,4900.0,2008,0
206,Biscoe,45.0,15.4,220.0,5050.0,2008,0
207,Biscoe,43.8,13.9,208.0,4300.0,2008,0
208,Biscoe,45.5,15.0,220.0,5000.0,2008,0
209,Biscoe,43.2,14.5,208.0,4450.0,2008,0
210,Biscoe,50.4,15.3,224.0,5550.0,2008,0
211,Biscoe,45.3,13.8,208.0,4200.0,2008,0
212,Biscoe,46.2,14.9,221.0,5300.0,2008,0
213,Biscoe,45.7,13.9,214.0,4400.0,2008,0
214,Biscoe,54.3,15.7,231.0,5650.0,2008,0
215,Biscoe,45.8,14.2,219.0,4700.0,2008,0
216,Biscoe,49.8,16.8,230.0,5700.0,2008,0
217,Biscoe,46.2,14.4,214.0,4650.0,2008,0
218,Biscoe,49.5,16.2,229.0,5800.0,2008,0
219,Biscoe,43.5,14.2,220.0,4700.0,2008,0
220,Biscoe,50.7,15.0,223.0,5550.0,2008,0
221,Biscoe,47.7,15.0,216.0,4750.0,2008,0
222,Biscoe,46.4,15.6,221.0,5000.0,2008,0
223,Biscoe,48.2,15.6,221.0,5100.0,2008,0
224,Biscoe,46.5,14.8,217.0,5200.0,2008,0
225,Biscoe,46.4,15.0,216.0,4700.0,2008,0
226,Biscoe,48.6,16.0,230.0,5800.0,2008,0
227,Biscoe,47.5,14.2,209.0,4600.0,2008,0
228,Biscoe,51.1,16.3,220.0,6000.0,2008,0
229,Biscoe,45.2,13.8,215.0,4750.0,2008,0
230,Biscoe,45.2,16.4,223.0,5950.0,2008,0
231,Biscoe,49.1,14.5,212.0,4625.0,2009,0
232,Biscoe,52.5,15.6,221.0,5450.0,2009,0
233,Biscoe,47.4,14.6,212.0,4725.0,2009,0
234,Biscoe,50.0,15.9,224.0,5350.0,2009,0
235,Biscoe,44.9,13.8,212.0,4750.0,2009,0
236,Biscoe,50.8,17.3,228.0,5600.0,2009,0
237,Biscoe,43.4,14.4,218.0,4600.0,2009,0
238,Biscoe,51.3,14.2,218.0,5300.0,2009,0
239,Biscoe,47.5,14.0,212.0,4875.0,2009,0
240,Biscoe,52.1,17.0,230.0,5550.0,2009,0
241,Biscoe,47.5,15.0,218.0,4950.0,2009,0
242,Biscoe,52.2,17.1,228.0,5400.0,2009,0
243,Biscoe,45.5,14.5,212.0,4750.0,2009,0
244,Biscoe,49.5,16.1,224.0,5650.0,2009,0
245,Biscoe,44.5,14.7,214.0,4850.0,2009,0
246,Biscoe,50.8,15.7,226.0,5200.0,2009,0
247,Biscoe,49.4,15.8,216.0,4925.0,2009,0
248,Biscoe,46.9,14.6,222.0,4875.0,2009,0
249,Biscoe,48.4,14.4,203.0,4625.0,2009,0
250,Biscoe,51.1,16.5,225.0,5250.0,2009,0
251,Biscoe,48.5,15.0,219.0,4850.0,2009,0
252,Biscoe,55.9,17.0,228.0,5600.0,2009,0
253,Biscoe,47.2,15.5,215.0,4975.0,2009,0
254,Biscoe,49.1,15.0,228.0,5500.0,2009,0
255,Biscoe,47.3,13.8,216.0,4725.0,2009,0
256,Biscoe,46.8,16.1,215.0,5500.0,2009,0
257,Biscoe,41.7,14.7,210.0,4700.0,2009,0
258,Biscoe,53.4,15.8,219.0,5500.0,2009,0
259,Biscoe,43.3,14.0,208.0,4575.0,2009,0
260,Biscoe,48.1,15.1,209.0,5500.0,2009,0
261,Biscoe,50.5,15.2,216.0,5000.0,2009,0
262,Biscoe,49.8,15.9,229.0,5950.0,2009,0
263,Biscoe,43.5,15.2,213.0,4650.0,2009,0
264,Biscoe,51.5,16.3,230.0,5500.0,2009,0
265,Biscoe,46.2,14.1,217.0,4375.0,2009,0
266,Biscoe,55.1,16.0,230.0,5850.0,2009,0
267,Biscoe,44.5,15.7,217.0,4875.0,2009,0
268,Biscoe,48.8,16.2,222.0,6000.0,2009,0
269,Biscoe,47.2,13.7,214.0,4925.0,2009,0
270,Biscoe,46.8,14.3,215.0,4850.0,2009,0
271,Biscoe,50.4,15.7,222.0,5750.0,2009,0
272,Biscoe,45.2,14.8,212.0,5200.0,2009,0
273,Biscoe,49.9,16.1,213.0,5400.0,2009,0
